date,regime,strategy,mean_IS,std_IS,cvar_95,is_99th_pct,is_sharpe,forced_liquidation_rate
2024-01-15,calm bull,TWAP,-0.43576090669703127,0.0021268471569111445,-0.439696646019049,-0.43969743130495414,-204.88584936272952,0.0
2024-01-15,calm bull,Heuristic,-0.43657894067631453,0.0021206848920043097,-0.43970408317399023,-0.43970442183687863,-205.86694503066832,0.0
2024-01-15,calm bull,AC Optimal,-0.43344448987773154,0.0025974483780679203,-0.43908191416721043,-0.439122267988815,-166.8731809456886,0.0
2024-01-15,calm bull,Adaptive AC,-0.4342413346468559,0.004898642633719372,-0.44203342340067775,-0.442039749616559,-88.64523466016296,0.0
2024-01-15,calm bull,RL Agent,-0.525171819128946,0.006230889583912126,-0.5367544846669287,-0.5367650094750497,-84.28520576843395,0.0
2024-03-05,BTC breakout,TWAP,-0.43586630319796205,0.008250714029984889,-0.45473062327352165,-0.45474136151893435,-52.827706345312485,0.0
2024-03-05,BTC breakout,Heuristic,-0.4722297794367627,0.05053361844668819,-0.548636311337553,-0.5486380173866027,-9.344863736612647,0.0
2024-03-05,BTC breakout,AC Optimal,-0.42375814958932245,0.0022335991017373553,-0.4287888865471706,-0.42884029949695307,-189.71986973299042,0.0
2024-03-05,BTC breakout,Adaptive AC,-0.4313795979238254,0.0034093378525896427,-0.4360550631101876,-0.436055415806649,-126.52884633984756,0.0
2024-03-05,BTC breakout,RL Agent,-0.5582223450458431,0.005277549006368121,-0.5653236891662479,-0.5653425327519581,-105.77302717510818,0.0
2024-06-10,quiet consolidation,TWAP,-0.4425915279820818,0.001390255898595306,-0.44537243351180855,-0.44537334895624997,-318.3525396971994,0.0
2024-06-10,quiet consolidation,Heuristic,-0.4441849507977813,0.00028805035904714757,-0.4448604904192686,-0.44486168829391304,-1542.0386840108383,0.0
2024-06-10,quiet consolidation,AC Optimal,-0.4370830874368808,0.0010138069639185647,-0.44011923006675396,-0.4401236456720122,-431.13044186875976,0.0
2024-06-10,quiet consolidation,Adaptive AC,-0.44075113448633785,0.002983556284965628,-0.4493697191928179,-0.44937164412006175,-147.72676551625335,0.0
2024-06-10,quiet consolidation,RL Agent,-0.5523072574873867,0.0025713504671174437,-0.5594784775245264,-0.5594868509437652,-214.79267142734983,0.0
2024-08-05,crash - Yen unwind,TWAP,-0.4994434496546021,0.003506986666247728,-0.5032184531690256,-0.5032200857683592,-142.41383927119222,0.0
2024-08-05,crash - Yen unwind,Heuristic,-0.5004460633207097,0.002613936965222079,-0.5036001692815796,-0.5036007298980557,-191.4529886656594,0.0
2024-08-05,crash - Yen unwind,AC Optimal,-0.5010152741364733,0.0020708988134391978,-0.5034738158458024,-0.5034740194552257,-241.93130378557382,0.0
2024-08-05,crash - Yen unwind,Adaptive AC,-0.4958485304129177,0.0031318135342232136,-0.5011436957882196,-0.5011477617977748,-158.32632088783387,0.0
2024-08-05,crash - Yen unwind,RL Agent,-0.5842637359280191,0.004322398376409009,-0.5895953601365687,-0.5895962283121268,-135.1711877368182,0.0
2024-11-06,post-election surge,TWAP,-0.46998915970301863,0.004381024738213845,-0.478815809162192,-0.47881952462762545,-107.27835998634384,0.0
2024-11-06,post-election surge,Heuristic,-0.4729531778213396,0.0039285805050260705,-0.4795503106752187,-0.47955159400426745,-120.38780042243809,0.0
2024-11-06,post-election surge,AC Optimal,-0.45664785909278904,0.002379994851630304,-0.46511869154817614,-0.4652736566619103,-191.86925534442156,0.0
