date,regime,twap_IS,heuristic_IS,static_optimal_IS,adaptive_optimal_IS,rl_passive_IS,rl_passive_var,rl_passive_cvar95,rl_passive_forced_liq,rl_passive_degradation,mean_action,action_entropy,action_distribution,p_value_vs_ac,ci_lower,ci_upper,significantly_better
2024-01-15,calm bull,1.9869,1.8797,-0.99,-0.4935,-0.525171819128946,3.882398500690463e-05,-0.5356590078343623,0.0,-0.5709512527071032,7.532337164750958,0.9022381680211653,"{7: 0.5499616858237548, 8: 0.3677394636015326, 9: 0.08229885057471265}",9.712808143894804e-94,-0.5269537003229079,-0.5234809207114468,True
2024-03-05,BTC breakout,2.0544,1.9531,-1.2275,-0.5861,-0.5582223450458431,2.785252351461714e-05,-0.5640308309113443,0.0,-0.6040017786240004,7.52432268346361,0.877381192411796,"{7: 0.5408666616073461, 8: 0.3939439933216969, 9: 0.06518934507095697}",4.982178539487463e-105,-0.559650661301285,-0.5567336773805694,True
2024-06-10,quiet consolidation,1.9491,1.8417,-0.8684,-0.4494,-0.5523072574873867,6.611843224745097e-06,-0.5560648195817187,0.0,-0.598086691065544,7.862782466648516,1.0694773560071948,"{7: 0.3632816045013159, 8: 0.41065432434885196, 9: 0.2260640711498321}",2.2903234071465922e-104,-0.5530153354839692,-0.5516015438513655,True
2024-08-05,crash - Yen unwind,1.9156,1.8078,-1.0714,-0.5854,-0.5842637359280191,1.8683127724383235e-05,-0.5895020959403031,0.0,-0.6300431695061763,7.0,-1.000000082690371e-10,{7: 1.0},1.6159105361319837e-102,-0.5854296827294658,-0.5830581088165464,True
2024-11-06,post-election surge,1.9261,1.8189,-1.2122,-0.5816,-0.5770928728318744,2.1990292977224584e-06,-0.5795034502163106,0.0,-0.6228723064100317,7.394438217988231,0.6771276394698006,"{7: 0.6065424488652283, 8: 0.3924768842813113, 9: 0.000980666853460353}",6.290672367416859e-131,-0.577501406149094,-0.5766840492987658,True
