timestamp,percentage,depth,notional
2024-01-15 00:00:12,-5,12251.47300000,499565539.44126000
2024-01-15 00:00:12,-4,10416.99100000,426495460.10329000
2024-01-15 00:00:12,-3,8555.98100000,351563668.78559000
2024-01-15 00:00:12,-2,5752.89300000,237633205.34422000
2024-01-15 00:00:12,-1,2692.06900000,111796720.65430000
2024-01-15 00:00:12,1,1017.46000000,42620326.49210000
2024-01-15 00:00:12,2,2599.59300000,109655932.61735000
2024-01-15 00:00:12,3,3515.88000000,148816519.72602000
2024-01-15 00:00:12,4,4134.69400000,175544247.95012000
2024-01-15 00:00:12,5,5022.75100000,214289723.94640000
2024-01-15 00:00:45,-5,12368.08700000,504547546.88599000
2024-01-15 00:00:45,-4,10393.16100000,425814526.07793000
2024-01-15 00:00:45,-3,8024.69000000,330247879.67439000
2024-01-15 00:00:45,-2,5631.71800000,232812838.22400000
2024-01-15 00:00:45,-1,2573.46600000,106974841.66560000
2024-01-15 00:00:45,1,1173.95000000,49241948.38940000
2024-01-15 00:00:45,2,2832.35300000,119594607.93045000
2024-01-15 00:00:45,3,3649.29200000,154557311.54038000
2024-01-15 00:00:45,4,4265.26300000,181192215.46288000
2024-01-15 00:00:45,5,5145.83700000,219633892.29837000
2024-01-15 00:01:05,-5,12390.41200000,505466702.29509000
2024-01-15 00:01:05,-4,10599.78800000,434125522.58286000
2024-01-15 00:01:05,-3,8087.14200000,332789435.36789000
2024-01-15 00:01:05,-2,5749.72000000,237639711.82350000
2024-01-15 00:01:05,-1,2657.87300000,110456430.64300000
2024-01-15 00:01:05,1,1199.04700000,50277659.02100000
2024-01-15 00:01:05,2,2854.79500000,120488237.89625000
2024-01-15 00:01:05,3,3682.53800000,155907645.61088000
2024-01-15 00:01:05,4,4260.84600000,180908973.73718000
2024-01-15 00:01:05,5,5156.97700000,220023755.55430000
2024-01-15 00:01:31,-5,12437.11800000,507357114.72639000
2024-01-15 00:01:31,-4,10616.01100000,434803960.29519000
2024-01-15 00:01:31,-3,8075.99900000,332363796.03099000
2024-01-15 00:01:31,-2,5812.97600000,240249205.50880000
2024-01-15 00:01:31,-1,2756.32200000,114526181.44090000
2024-01-15 00:01:31,1,1150.84700000,48250387.32140000
2024-01-15 00:01:31,2,2766.62100000,116751648.42705000
2024-01-15 00:01:31,3,3664.77900000,155161549.11128000
2024-01-15 00:01:31,4,4257.30100000,180773558.05288000
2024-01-15 00:01:31,5,5123.65600000,218578702.90350000
2024-01-15 00:02:03,-5,12454.10000000,507847367.04876000
2024-01-15 00:02:03,-4,10597.13300000,433889842.58309000
2024-01-15 00:02:03,-3,8690.56500000,357128434.20019000
2024-01-15 00:02:03,-2,5862.01000000,242163489.55692000
2024-01-15 00:02:03,-1,2855.92200000,118600434.80829000
2024-01-15 00:02:03,1,1109.97500000,46499847.78100000
2024-01-15 00:02:03,2,2720.86100000,114745136.01966000
2024-01-15 00:02:03,3,3583.65800000,151611507.24852000
2024-01-15 00:02:03,4,4200.94000000,178265315.03922000
2024-01-15 00:02:03,5,5054.01100000,215466174.64680000
2024-01-15 00:02:31,-5,12551.18300000,511892012.24506000
2024-01-15 00:02:31,-4,10671.27300000,437006121.10559000
2024-01-15 00:02:31,-3,8747.55900000,359535292.87139000
2024-01-15 00:02:31,-2,5890.32400000,243381181.31932000
2024-01-15 00:02:31,-1,2878.24100000,119547902.64510000
2024-01-15 00:02:31,1,1130.73300000,47384183.39410000
2024-01-15 00:02:31,2,2736.75700000,115431750.65725000
2024-01-15 00:02:31,3,3584.50900000,151657719.53382000
2024-01-15 00:02:31,4,4216.64300000,178958770.89202000
2024-01-15 00:02:31,5,5106.09200000,217762987.43960000
2024-01-15 00:03:03,-5,12427.94800000,506958582.74469000
2024-01-15 00:03:03,-4,10381.81300000,425381520.06926000
2024-01-15 00:03:03,-3,8012.94900000,329786076.76429000
2024-01-15 00:03:03,-2,5728.18800000,236766897.55390000
2024-01-15 00:03:03,-1,2640.70600000,109747050.83560000
2024-01-15 00:03:03,1,1208.13300000,50667528.12540000
2024-01-15 00:03:03,2,2905.45500000,122648735.24865000
2024-01-15 00:03:03,3,3691.49200000,156281555.96208000
2024-01-15 00:03:03,4,4269.40000000,181268966.76288000
2024-01-15 00:03:03,5,5155.19800000,219933928.54657000
2024-01-15 00:03:31,-5,12467.32500000,508563202.09319000
2024-01-15 00:03:31,-4,10585.37500000,433573370.38626000
2024-01-15 00:03:31,-3,8035.80900000,330733112.12759000
2024-01-15 00:03:31,-2,5742.41100000,237366930.62320000
2024-01-15 00:03:31,-1,2668.47100000,110905960.54010000
2024-01-15 00:03:31,1,1233.39800000,51716654.78200000
2024-01-15 00:03:31,2,2934.34400000,123847525.20755000
2024-01-15 00:03:31,3,3728.58400000,157829273.52338000
2024-01-15 00:03:31,4,4321.93100000,183480707.59248000
2024-01-15 00:03:31,5,5213.58200000,222399181.04824000
2024-01-15 00:04:04,-5,12382.42100000,505047138.43939000
2024-01-15 00:04:04,-4,10320.48900000,422839525.75366000
2024-01-15 00:04:04,-3,7949.10500000,327140076.69759000
2024-01-15 00:04:04,-2,5669.29100000,234321785.76750000
2024-01-15 00:04:04,-1,2599.54000000,108031802.86980000
2024-01-15 00:04:04,1,1221.74100000,51236434.22630000
2024-01-15 00:04:04,2,2924.47800000,123445897.23395000
2024-01-15 00:04:04,3,3706.97600000,156927062.06968000
2024-01-15 00:04:04,4,4304.92300000,182778925.67118000
2024-01-15 00:04:04,5,5191.36800000,221471544.79397000
2024-01-15 00:04:31,-5,12009.06800000,490481726.32807000
2024-01-15 00:04:31,-4,10225.98100000,419261783.04590000
2024-01-15 00:04:31,-3,7836.62800000,322755430.82456000
2024-01-15 00:04:31,-2,5487.58300000,227018402.55975000
2024-01-15 00:04:31,-1,2339.10200000,97321439.63352000
2024-01-15 00:04:31,1,1228.33300000,51587755.39340000
2024-01-15 00:04:31,2,3047.19200000,128816633.44467000
2024-01-15 00:04:31,3,3765.55300000,159604938.21302000
2024-01-15 00:04:31,4,4496.50400000,191281380.11674000
2024-01-15 00:04:31,5,5485.76000000,234580098.37021000
2024-01-15 00:05:05,-5,11973.15100000,489198121.71207000
2024-01-15 00:05:05,-4,10203.64800000,418499005.55850000
2024-01-15 00:05:05,-3,7808.24600000,321725696.64306000
2024-01-15 00:05:05,-2,5198.49700000,215268753.51225000
2024-01-15 00:05:05,-1,2362.90100000,98355532.51606000
2024-01-15 00:05:05,1,1282.32800000,53882556.35960000
2024-01-15 00:05:05,2,3124.62300000,132149866.57483000
2024-01-15 00:05:05,3,3844.00700000,162998065.95572000
2024-01-15 00:05:05,4,4546.05700000,193435330.59084000
2024-01-15 00:05:05,5,5531.18400000,236560616.97731000
2024-01-15 00:05:31,-5,11688.49000000,477775531.27713000
2024-01-15 00:05:31,-4,10116.53100000,414918199.73150000
2024-01-15 00:05:31,-3,7151.77600000,295015753.37608000
2024-01-15 00:05:31,-2,5087.87800000,210697462.67765000
2024-01-15 00:05:31,-1,2206.76600000,91873478.62333000
2024-01-15 00:05:31,1,1199.39600000,50423357.64480000
2024-01-15 00:05:31,2,3075.10000000,130137084.75953000
2024-01-15 00:05:31,3,3789.93500000,160801602.68282000
2024-01-15 00:05:31,4,4503.81800000,191756794.83314000
2024-01-15 00:05:31,5,5499.80700000,235364698.90251000
2024-01-15 00:06:04,-5,11412.30700000,466987852.32617000
2024-01-15 00:06:04,-4,9939.05500000,407983553.81715000
2024-01-15 00:06:04,-3,7239.97600000,298768937.36844000
2024-01-15 00:06:04,-2,5181.37200000,214663133.23417000
2024-01-15 00:06:04,-1,2222.29400000,92556660.55619000
2024-01-15 00:06:04,1,1270.51300000,53440444.26087000
2024-01-15 00:06:04,2,3162.91200000,133922447.67360000
2024-01-15 00:06:04,3,3891.43200000,165192172.87475000
2024-01-15 00:06:04,4,4598.11900000,195845644.02310000
2024-01-15 00:06:04,5,5600.06600000,239723637.16273000
2024-01-15 00:06:31,-5,11577.69700000,473587541.66425000
2024-01-15 00:06:31,-4,10076.83100000,413531175.73415000
2024-01-15 00:06:31,-3,7276.27800000,300243090.42400000
2024-01-15 00:06:31,-2,5249.31500000,217447025.56827000
2024-01-15 00:06:31,-1,2339.00600000,97390318.30215000
2024-01-15 00:06:31,1,1289.66900000,54211630.17167000
2024-01-15 00:06:31,2,3167.32500000,134049647.42900000
2024-01-15 00:06:31,3,3915.27600000,166137855.53179000
2024-01-15 00:06:31,4,4637.11700000,197439740.50321000
2024-01-15 00:06:31,5,5629.60100000,240896011.51648000
2024-01-15 00:07:03,-5,11828.71700000,483789587.45155000
2024-01-15 00:07:03,-4,10258.73700000,421010917.34762000
2024-01-15 00:07:03,-3,7416.11600000,306040640.57880000
2024-01-15 00:07:03,-2,5384.48900000,223060017.47657000
2024-01-15 00:07:03,-1,2482.52100000,103356313.26565000
2024-01-15 00:07:03,1,1273.62900000,53535866.90527000
2024-01-15 00:07:03,2,3141.82000000,132964193.68620000
2024-01-15 00:07:03,3,3882.79300000,164748662.81469000
2024-01-15 00:07:03,4,4591.92100000,195498297.77101000
2024-01-15 00:07:03,5,5589.36700000,239170207.26868000
2024-01-15 00:07:32,-5,11340.32200000,464015951.34395000
2024-01-15 00:07:32,-4,9921.65600000,407205941.53753000
2024-01-15 00:07:32,-3,7173.25900000,296010704.47280000
2024-01-15 00:07:32,-2,5121.27800000,212180929.11577000
2024-01-15 00:07:32,-1,2283.50000000,95102300.18109000
2024-01-15 00:07:32,1,1269.40500000,53392065.51217000
2024-01-15 00:07:32,2,3125.63400000,132330926.06380000
2024-01-15 00:07:32,3,3859.46600000,163825822.76071000
2024-01-15 00:07:32,4,4564.55700000,194408920.33520000
2024-01-15 00:07:32,5,5570.80700000,238474431.84353000
2024-01-15 00:08:03,-5,11499.68900000,470385092.21195000
2024-01-15 00:08:03,-4,10000.30100000,410386566.15135000
2024-01-15 00:08:03,-3,7212.78000000,297623749.68500000
2024-01-15 00:08:03,-2,5188.79700000,214949320.39437000
2024-01-15 00:08:03,-1,2377.77600000,98998677.26585000
2024-01-15 00:08:03,1,1320.26500000,55507117.19087000
2024-01-15 00:08:03,2,3164.85800000,133941292.65320000
2024-01-15 00:08:03,3,3906.33800000,165753617.08899000
2024-01-15 00:08:03,4,4626.42500000,196980795.59091000
2024-01-15 00:08:03,5,5620.47400000,240506680.45088000
2024-01-15 00:08:31,-5,11507.29900000,470715795.58275000
2024-01-15 00:08:31,-4,10011.90500000,410876612.12085000
2024-01-15 00:08:31,-3,7226.34300000,298193431.05550000
2024-01-15 00:08:31,-2,5209.15000000,215797658.72517000
2024-01-15 00:08:31,-1,2402.97100000,100048301.66925000
2024-01-15 00:08:31,1,1269.03900000,53356168.09687000
2024-01-15 00:08:31,2,3129.58800000,132465461.79740000
2024-01-15 00:08:31,3,3877.62400000,164558660.48719000
2024-01-15 00:08:31,4,4591.80800000,195528525.71621000
2024-01-15 00:08:31,5,5590.22900000,239244185.35328000
2024-01-15 00:09:03,-5,11661.13800000,476850746.82195000
2024-01-15 00:09:03,-4,10093.17500000,414152849.95512000
2024-01-15 00:09:03,-3,7265.93500000,299804943.34490000
2024-01-15 00:09:03,-2,5240.39800000,217076846.54847000
2024-01-15 00:09:03,-1,2464.65900000,102602556.19095000
2024-01-15 00:09:03,1,1219.96500000,51280046.34577000
2024-01-15 00:09:03,2,3049.22200000,129046936.50950000
2024-01-15 00:09:03,3,3790.55300000,160844794.42179000
2024-01-15 00:09:03,4,4492.38000000,191274812.96981000
2024-01-15 00:09:03,5,5501.83800000,235470271.45498000
2024-01-15 00:09:31,-5,11664.17700000,477015053.86815000
2024-01-15 00:09:31,-4,10109.48700000,414843619.31582000
2024-01-15 00:09:31,-3,7280.24500000,300413622.64340000
2024-01-15 00:09:31,-2,5250.30700000,217503274.75767000
2024-01-15 00:09:31,-1,2455.52000000,102235208.46915000
2024-01-15 00:09:31,1,1257.01100000,52841576.38187000
2024-01-15 00:09:31,2,3070.17600000,129932128.16510000
2024-01-15 00:09:31,3,3815.50700000,161905593.36759000
2024-01-15 00:09:31,4,4532.65400000,192999851.15701000
2024-01-15 00:09:31,5,5538.75700000,237049879.67298000
2024-01-15 00:10:07,-5,11466.46100000,469105279.13185000
2024-01-15 00:10:07,-4,9985.90500000,409855145.09285000
2024-01-15 00:10:07,-3,7240.02500000,298774334.96630000
2024-01-15 00:10:07,-2,5228.41600000,216605230.27637000
2024-01-15 00:10:07,-1,2391.81800000,99599209.42325000
2024-01-15 00:10:07,1,1272.21400000,53492469.97687000
2024-01-15 00:10:07,2,3086.66200000,130643995.83300000
2024-01-15 00:10:07,3,3830.70900000,162568134.15489000
2024-01-15 00:10:07,4,4548.85100000,193709868.39441000
2024-01-15 00:10:07,5,5548.21000000,237467890.91028000
2024-01-15 00:10:33,-5,11340.48800000,464345275.86015000
2024-01-15 00:10:33,-4,9843.94900000,404363810.20745000
2024-01-15 00:10:33,-3,7029.74900000,290409105.01504000
2024-01-15 00:10:33,-2,5100.48100000,211496755.23000000
2024-01-15 00:10:33,-1,1849.72700000,77171099.87233000
2024-01-15 00:10:33,1,1303.92200000,54900826.03582000
2024-01-15 00:10:33,2,3157.82900000,133809047.30380000
2024-01-15 00:10:33,3,3917.51800000,166460337.91111000
2024-01-15 00:10:33,4,4580.60500000,195254522.77450000
2024-01-15 00:10:33,5,5734.25300000,245830486.39429000
2024-01-15 00:11:02,-5,11200.92200000,458820515.82005000
2024-01-15 00:11:02,-4,9365.48200000,385154525.54527000
2024-01-15 00:11:02,-3,6853.88500000,283341562.22416000
2024-01-15 00:11:02,-2,4970.14700000,206213609.43194000
2024-01-15 00:11:02,-1,1638.90700000,68439612.48701000
2024-01-15 00:11:02,1,1288.42900000,54294419.67986000
2024-01-15 00:11:02,2,3192.98600000,135450048.77347000
2024-01-15 00:11:02,3,3952.00600000,168101742.27985000
2024-01-15 00:11:02,4,4734.34400000,202119776.92771000
2024-01-15 00:11:02,5,5789.59100000,248422569.52663000
2024-01-15 00:11:31,-5,11209.31600000,459164626.35078000
2024-01-15 00:11:31,-4,9350.50800000,384547711.50539000
2024-01-15 00:11:31,-3,6858.83500000,283531631.24399000
2024-01-15 00:11:31,-2,4908.44300000,203656401.36297000
2024-01-15 00:11:31,-1,1530.65900000,63932068.41994000
2024-01-15 00:11:31,1,1237.09200000,52154555.74852000
2024-01-15 00:11:31,2,3111.10000000,132021455.64973000
2024-01-15 00:11:31,3,3894.42700000,165724233.00001000
2024-01-15 00:11:31,4,4695.01000000,200541622.38119000
2024-01-15 00:11:31,5,5730.69400000,245992352.11589000
2024-01-15 00:12:05,-5,11287.72900000,462413493.24178000
2024-01-15 00:12:05,-4,9447.15600000,388542144.02390000
2024-01-15 00:12:05,-3,6926.32600000,286355841.18109000
2024-01-15 00:12:05,-2,5048.99100000,209490956.79387000
2024-01-15 00:12:05,-1,1683.00000000,70286743.52644000
2024-01-15 00:12:05,1,1279.25900000,53911092.88212000
2024-01-15 00:12:05,2,3166.07100000,134316065.48273000
2024-01-15 00:12:05,3,3947.27700000,167920747.23171000
2024-01-15 00:12:05,4,4738.74200000,202332381.53007000
2024-01-15 00:12:05,5,5799.83500000,248890199.23209000
2024-01-15 00:12:32,-5,11392.17300000,466955673.42758000
2024-01-15 00:12:32,-4,9546.11200000,392835424.30769000
2024-01-15 00:12:32,-3,7035.65900000,291045056.40229000
2024-01-15 00:12:32,-2,5092.73800000,211456308.95287000
2024-01-15 00:12:32,-1,1729.80000000,72313057.83677000
2024-01-15 00:12:32,1,1394.59300000,58788802.44382000
2024-01-15 00:12:32,2,3261.19500000,138374533.24093000
2024-01-15 00:12:32,3,4076.75300000,173470888.50531000
2024-01-15 00:12:32,4,4895.50400000,209086711.26359000
2024-01-15 00:12:32,5,5945.12300000,255158723.92888000
2024-01-15 00:13:04,-5,11349.31300000,465232869.69358000
2024-01-15 00:13:04,-4,9505.24800000,391189056.49962000
2024-01-15 00:13:04,-3,7022.19500000,290506766.30039000
2024-01-15 00:13:04,-2,5085.51700000,211170736.82317000
2024-01-15 00:13:04,-1,1713.93800000,71662281.21477000
2024-01-15 00:13:04,1,1435.99000000,60545206.15742000
2024-01-15 00:13:04,2,3301.41100000,140086880.22203000
2024-01-15 00:13:04,3,4099.50900000,174431887.16831000
2024-01-15 00:13:04,4,4930.51900000,210585557.65399000
2024-01-15 00:13:04,5,5965.31000000,256010546.68388000
2024-01-15 00:13:31,-5,11444.43400000,469231517.57772000
2024-01-15 00:13:31,-4,9539.68100000,392737899.93292000
2024-01-15 00:13:31,-3,7041.33900000,291411033.24978000
2024-01-15 00:13:31,-2,4893.80500000,203368585.90427000
2024-01-15 00:13:31,-1,1639.17100000,68586656.15900000
2024-01-15 00:13:31,1,1332.30400000,56212539.03750000
2024-01-15 00:13:31,2,3167.07800000,134464356.56333000
2024-01-15 00:13:31,3,4008.63900000,170693471.65431000
2024-01-15 00:13:31,4,4881.01300000,208663492.00289000
2024-01-15 00:13:31,5,5864.54200000,251851380.85758000
2024-01-15 00:14:03,-5,11359.21400000,465778059.98842000
2024-01-15 00:14:03,-4,9362.96500000,385588988.84412000
2024-01-15 00:14:03,-3,6839.02500000,283173803.35216000
2024-01-15 00:14:03,-2,4688.26100000,194931067.54834000
2024-01-15 00:14:03,-1,1553.25300000,65024359.07880000
2024-01-15 00:14:03,1,1302.87300000,54995579.68523000
2024-01-15 00:14:03,2,3195.02500000,135752983.81263000
2024-01-15 00:14:03,3,4053.35900000,172723742.63286000
2024-01-15 00:14:03,4,4897.00800000,209454807.72639000
2024-01-15 00:14:03,5,5885.91600000,252881227.65308000
2024-01-15 00:14:32,-5,11316.18700000,464017992.06442000
2024-01-15 00:14:32,-4,9277.53300000,382107435.38362000
2024-01-15 00:14:32,-3,6796.57200000,281419829.93936000
2024-01-15 00:14:32,-2,4620.02900000,192106182.00824000
2024-01-15 00:14:32,-1,1489.08800000,62347714.03820000
2024-01-15 00:14:32,1,1365.28600000,57645379.68953000
2024-01-15 00:14:32,2,3279.97800000,139394416.98039000
2024-01-15 00:14:32,3,4088.50400000,174239936.02876000
2024-01-15 00:14:32,4,4948.10600000,211678417.28301000
2024-01-15 00:14:32,5,5903.71300000,253651483.56154000
2024-01-15 00:15:08,-5,11331.43600000,464642523.94382000
2024-01-15 00:15:08,-4,9354.83100000,385241747.05972000
2024-01-15 00:15:08,-3,6835.83000000,283027311.79686000
2024-01-15 00:15:08,-2,4674.84300000,194370611.69794000
2024-01-15 00:15:08,-1,1545.35600000,64691912.59070000
2024-01-15 00:15:08,1,1305.62500000,55114345.46553000
2024-01-15 00:15:08,2,3189.00100000,135501119.02793000
2024-01-15 00:15:08,3,4043.85900000,172322383.20756000
2024-01-15 00:15:08,4,4872.07700000,208382690.35969000
2024-01-15 00:15:08,5,5861.11300000,251813459.87698000
